code,name
ACH,ACH
CATEDRALA,Catedrală
SPITAL,Spital
ROMTELECOM,Romtelecom
UNION,UNION
MINULESCU,Minulescu
ARCULUI,Arcului
FINANTE,Finanțe
VALCEA,Vâlcea
METALURGIC,Metalurgic
STEAUA,Steaua
FABRA,Fabra
LPS,LPS
HELIOS,Helios
PARC HOTEL,Hotel Parc
PIRELLI,Pirelli
TMK,TMK
13 DECEMBRIE,13 Decembrie
TUNARI,Tunari
ARTILERIEI,Artileriei
CAO,CAO
PRYSMIAN1,Prysmian 1
PRYSMIAN2,Prysmian 2
LIDL,Lidl Steaua
GARA,Gară
KAUFLAND,Kaufland Steaua
AXXA,AXXA
EROILOR,Eroilor
DECORA,Decora
TMUCB,TMUCB
OMV,OMV Cornișei
ACR,ACR
CLOCOCIOV,Clocociov
TRIBUNAL,Tribunal
BANULUI,Banului
SATU NOU,Satu Nou
ALRO,ALRO
ALTUR,ALTUR
DEDEMAN,Dedeman
BAZIN,Bazin Olimpic
AUTOGARA,Autogară
CUZA VODA,Cuza Vodă